2024-05-12T16:03:12,801 INFO  com.github.leovd100.message.service.Application - Starting Application using Java 21.0.1 with PID 18700 (C:\marketing Capture\message.service\message.service\target\classes started by Leonardo Vieira in C:\marketing Capture\message.service\message.service)
2024-05-12T16:03:12,819 DEBUG com.github.leovd100.message.service.Application - Running with Spring Boot v3.1.11, Spring v6.0.19
2024-05-12T16:03:12,820 INFO  com.github.leovd100.message.service.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-12T16:03:14,470 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-12T16:03:14,582 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 1 JPA repository interface.
2024-05-12T16:03:15,528 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2024-05-12T16:03:15,542 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2024-05-12T16:03:15,545 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-12T16:03:15,546 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-12T16:03:15,679 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-12T16:03:15,681 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2751 ms
2024-05-12T16:03:15,733 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-12T16:03:15,999 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-05-12T16:03:16,002 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-12T16:03:16,016 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2024-05-12T16:03:16,286 INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-12T16:03:16,403 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.24.Final
2024-05-12T16:03:16,406 INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-12T16:03:16,805 INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-12T16:03:16,868 WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-12T16:03:17,751 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-12T16:03:17,785 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-12T16:03:18,724 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-12T16:03:20,727 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2024-05-12T16:03:20,768 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2024-05-12T16:03:20,783 INFO  com.github.leovd100.message.service.Application - Started Application in 9.211 seconds (process running for 10.911)
2024-05-12T16:04:56,930 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-12T16:04:56,931 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-12T16:04:56,932 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-12T16:04:57,260 INFO  com.github.leovd100.message.service.infraestructureLayer.service.impl.LeadServiceImpl - Dados salvos com sucesso! a3eb1837-ea5e-4c39-af65-152f2188bf5a
2024-05-12T16:04:57,287 INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-05-12T16:04:57,366 INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#2a7b5925:0/SimpleConnection@1f302b94 [delegate=amqp://guest@127.0.0.1:5672/, localPort=51195]
2024-05-12T16:04:57,411 INFO  com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Message sent successfully to RabbitMq a3eb1837-ea5e-4c39-af65-152f2188bf5a
2024-05-12T16:04:57,413 ERROR org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Shutdown Signal: channel error; protocol method: #method<channel.close>(reply-code=404, reply-text=NOT_FOUND - no exchange 'sms-request-exchange' in vhost '/', class-id=60, method-id=40)
2024-05-12T16:04:57,461 INFO  com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Message sent successfully to RabbitMq a3eb1837-ea5e-4c39-af65-152f2188bf5a
2024-05-12T16:04:57,468 ERROR org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Shutdown Signal: channel error; protocol method: #method<channel.close>(reply-code=404, reply-text=NOT_FOUND - no exchange 'email-request-exchange' in vhost '/', class-id=60, method-id=40)
2024-05-12T16:27:12,664 INFO  com.github.leovd100.message.service.infraestructureLayer.service.impl.LeadServiceImpl - Dados salvos com sucesso! 87e36b9a-9b15-44fa-9b9f-1290e281b14c
2024-05-12T16:27:12,667 INFO  com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Message sent successfully to RabbitMq 87e36b9a-9b15-44fa-9b9f-1290e281b14c
2024-05-12T16:27:12,667 INFO  com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Message sent successfully to RabbitMq 87e36b9a-9b15-44fa-9b9f-1290e281b14c
2024-05-12T16:28:22,591 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-12T16:28:22,771 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-12T16:28:22,778 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-12T16:28:37,736 INFO  com.github.leovd100.message.service.Application - Starting Application using Java 21.0.1 with PID 7780 (C:\marketing Capture\message.service\message.service\target\classes started by Leonardo Vieira in C:\marketing Capture\message.service\message.service)
2024-05-12T16:28:37,758 DEBUG com.github.leovd100.message.service.Application - Running with Spring Boot v3.1.11, Spring v6.0.19
2024-05-12T16:28:37,759 INFO  com.github.leovd100.message.service.Application - No active profile set, falling back to 1 default profile: "default"
